시장형태,등록형태,시도,시군구,시장명,주소(지번),주소(도로명),"시장크기 (1=대형시장, 2=중대형시장, 3=중형시장, 4=소형시장)","시장면적(단위선택: 1=제곱미터, 2=평형)",시장면적(㎡),시장면적(평),"소유형태(1=법인시장, 2=개인시장, 3=공설시장, 4=공동시장)","외부형태(전통시장: 1=상가건물형, 2=노점형, 3=장옥형, 4=상가주택형)","개설주기(1=상설, 2=정기, 3=상설+정기)", 정기(장날1), 정기(장날2),상설+정기(장날1), 상설+정기(장날2),전체점포수,영업점포수(합),영업점포수(임차점포수),비영업 점포수(빈점포),비영업 점포수(기타점포), 노점수,2017년-점포소유상인,2017년-점포임차상인,2017년-종업원수,2017년-노점상인수,2017년-총시장상인," 상인회 운영여부(1=운영, 2=미운영)"," 상인회 조직형태(1=시군구청 등록 상인회, 2=상점가진흥조합, 3=사업조합 또는 협동조합, 4=사단법인, 5=임의단체)",상근직원 명수,상인회 회원 수,"보유현황 - 1고객지원센터(1=있음, 2=없음)","보유현황 - 2유아놀이방(어린이놀이터)(1=있음, 2=없음)","보유현황 - 4고객휴게실(1=있음, 2=없음)","보유현황 - 5수유센터(1=있음, 2=없음)","보유현황 - 6물품보관함(1=있음, 2=없음)","보유현황 - 7자전거보관함(1=있음, 2=없음)","보유현황 - 10쇼핑카트(1=있음, 2=없음)","문2) 보유현황 - 12고객동선통로(1=있음, 2=없음)","보유현황 - 16시장전용 고객주차장(1=있음, 2=없음)",보유갯수 - 16시장전용 고객주차장,"보유여부 - 2소화전(1=있음, 2=없음)",보유개수-2소화전,"보유여부 - 3공용소화기(1=있음, 2=없음)",보유개수 - 3공용소화기,"보유여부 - 5경보기(1=있음, 2=없음)",보유개수 - 5경보기,"화재/가스감지센서(1=있음, 2=없음)",보유개수 -화재/가스 감지센서,"보유여부 - 7자동 화재속보 설비(1=있음, 2=없음)",보유개수 - 7자동화재속보설비,"보유여부 - 1CCTV(1=있음, 2=없음)","보유여부 - 2공동수도시설(노점/장옥형)(1=있음, 2=없음)","보유여부 - 3공동화장실(1=있음, 2=없음)",보유개수 -3공동화장실,"보유여부 - 4아케이드(1=있음, 2=없음)","보유여부 - 5냉방시설(1=있음, 2=없음)","보유여부 - 6난방시설(1=있음, 2=없음)","보유여부 - 7가스시설(1=있음, 2=없음)","보유여부 - 8엘리베이터/에스컬레이터(건물형만)(1=있음, 2=없음)","보유여부 - 9장애인용 화장실(1=있음, 2=없음)","보유여부 - 10배수시설(1=있음, 2=없음)","보유여부 - 11실외 가로등(1=있음, 2=없음)","보유여부 - 12전기배선시설(1=있음, 2=없음)","보유여부 - 13건물실내조명 (LED조명 설치 여부)(1=LED조명, 2=형광등 및 백열등)","보유여부 - 13건물실내조명 (LED조명 설치 여부)(1=LED조명, 2=형광등 및 백열등)","보유여부 - 1이동/고정식,이벤트 광장(1=있음, 2=없음)","보유여부 - 2테마거리(1=있음, 2=없음)","보유여부 - 3TV광고판(1=있음, 2=없음)","보유여부 - 4LED광고판(1=있음, 2=없음)","보유여부 - 6아치/조형물(1=있음, 2=없음)","시장/상점가의 주력 상품 여부(1=있음, 2=없음)","시장/상점가의 주력 상품의 개수(1=1개, 2=2개, 3=3개, 4=4개 이상)",시장/상점가의 주력 상품의 상품명
전통시장,등록,강원,강릉시,강릉동부시장,강원도 강릉시 옥천동 48,강원도 강릉시 수문길19번옆길 12-1,3,1,"7,109",,1,1,1,,,,,123,103,72,10,10,5,31,72,20,5,128,1,1,3,103,2,2,2,2,2,2,2,2,1,1,1,1,1,80,1,1,1,1,2,,1,,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,건어물
전통시장,등록,강원,강릉시,강릉서부시장,강원도 강릉시 용강동 29,강원도 강릉시 임영로 155번길 6,4,1,"3,707",,1,4,1,,,,,157,49,34,27,81,9,15,34,31,9,89,1,1,4,49,1,2,1,2,2,2,2,1,1,1,1,12,1,54,1,12,1,260,1,1,1,,1,2,1,,,1,,1,1,1,1,1,,2,2,2,2,1,1,3,컴퓨터기기 감자전 추어탕
전통시장,인정,강원,강릉시,강릉성남시장,강원도 강릉시 성남동 53-8,강원도 강릉시 중앙시장길 24-2,3,1,"7,223",,4,4,1,,,,,120,120,61,0,0,47,59,61,9,47,176,1,1,1,120,1,2,1,2,2,1,1,1,1,2,1,10,1,40,1,12,1,12,2,,1,,1,1,1,,,1,,1,1,1,1,1,2,1,1,1,1,1,1,4,닭강정 국수 호떡 어묵고로케
전통시장,인정,강원,강릉시,주문진건어물시장,강원도 강릉시 주문리 312-708,강원도 강릉시 주문진읍 해안로1748,3,1,"26,359",,4,1,1,,,,,103,103,49,0,0,0,54,49,107,0,210,1,1,1,103,1,2,1,1,2,2,2,1,1,1,1,2,1,10,1,3,1,3,1,1,1,,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,4,건어물 수산물 회 대게
전통시장,등록,강원,강릉시,주문진수산시장,강원도 강릉시 주문리 312-91,강원도 강릉시주문진읍 시장1길 4 - 1,4,1,"1,881",,1,1,1,,,,,41,41,10,0,0,0,31,10,26,0,67,1,1,2,41,1,1,2,2,2,2,2,2,1,1,1,5,1,17,1,1,1,1,1,1,1,,1,1,1,2,2,1,2,1,1,1,1,1,,1,1,1,1,1,1,4,문어 복어 홍개 대게 등
전통시장,인정,강원,강릉시,주문진종합시장,강원도 강릉시 주문리 321-52,강원도 강릉시 주문진읍 구시장길 8 - 1,3,1,"5,716",,4,4,3,,,1,6,109,106,64,3,0,2,42,64,79,2,187,1,1,1,106,1,2,1,2,1,1,2,1,1,1,1,4,1,40,1,14,2,,1,1,1,,1,2,1,,,1,,2,1,1,1,1,2,1,1,2,2,1,1,4,감자옹심이 감자전 메밀전 떡만두국 생선구이
전통시장,등록,강원,강릉시,중앙시장,강원도 강릉시 성남동 50,강원도 강릉시 금성로21,3,1,"3,848",,1,1,1,,,,,198,198,122,0,0,80,76,122,52,80,330,1,4,1,195,1,2,1,2,1,1,1,2,1,2,1,18,1,46,1,36,1,361,1,1,1,,1,2,1,1,1,1,1,1,1,1,1,1,,1,2,2,1,1,2,,
전통시장,등록,강원,고성군,간성시장,강원도 고성군 간성읍 신안리 311-10,강원도 고성군 간성시장3길 7-2,4,1,"7,000",,4,1,3,,,2,7,83,80,24,3,0,49,56,24,31,49,160,1,1,3,73,1,2,1,2,2,2,2,2,1,2,1,3,1,6,1,2,1,13,2,,1,,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,2,1,1,농산물 청과물
전통시장,등록,강원,고성군,거진시장,강원도 고성군 거진리 272,강원도 고성군 거진시장길 15,4,1,"5,881",,3,1,3,,,1,6,59,52,33,7,0,30,19,33,32,30,114,1,1,,52,1,2,1,2,2,2,2,2,1,3,1,6,1,23,1,1,1,27,1,1,2,,1,3,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,,
전통시장,인정,강원,동해시,동쪽바다중앙시장,강원도 동해시 발한동 7-1,강원도 동해시 중앙시장길 12,3,1,"23,875",,4,1,1,,,,,223,209,134,14,0,28,75,134,88,28,325,1,1,4,204,1,2,1,2,2,1,1,1,1,2,1,7,1,80,1,200,1,200,1,1,1,,1,11,1,2,2,1,2,1,1,1,1,1,,1,1,2,1,1,1,4,꽃발문어 먹태 홍합장칼국수 거동탕수육
